0,47
1,9,10,25,42
2,18,24,25,36,42,43
3,4,5,32,33,44
4,3,11,33,37
5,3,16,29,32,36,44,50
6,19,34,39
7,20,45
8,20,31,38
9,1,10
10,1,9,27,40,42
11,4
12,14,23,24,29,41,48
13,26,33,37,44,47,50
14,12,15,17,24,48
15,14,17,24,48
16,5,24,29,36
17,14,15,24,35,42,45,49
18,2,25,43
19,6,30,34,39,46
20,7,8,38,45,49
21,30
22,15,35,48
23,12,28,41,48
24,2,12,14,16,17,29,36,42
25,1,2,18,42
26,13,28,41,50
27,10,40,42,45
28,23,26,41
29,5,12,16,24,41,50
30,19,21,46
31,8,34,38
32,3,5,36,43,44
33,3,4,13,37,44
34,6,19,31,38,46
35,15,17,22,38,49
36,2,5,16,24,32,43
37,4,13,33,47
38,8,20,31,34,35,49
39,6,19
40,10,27
41,12,23,26,28,29,50
42,1,2,10,17,24,25,27,45
43,2,18,32,36
44,3,5,13,32,33,50
45,7,17,20,27,42,49
46,19,30,34
47,0,13,37
48,12,14,22,23
49,17,20,35,38,45
50,5,13,26,29,41,44